id,name,email,email_verified,status,is_banned,user_pass,image,worker_img_url,profile_slug,user_description,prefecture,birth_year,sex,participate_points,child_count,marriage,job,sei,mei,kana_sei,kana_mei,email_subscription,interest_categories,profile_registered,sns_x,profile_slug_updated_at,reset_token,reset_token_expiry,created_at,updated_at,avatar_style,avatar_seed,use_custom_image
1004,ちひろ,yhayashi+5@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,chihiro_sports,埼玉在住の26歳です。社会人サークルで知り合った男性に告白するタイミングで悩んでいます。友達関係を壊したくないけど、気持ちを伝えたいです。,埼玉県,1998,female,0,0,single,会社員,,,,,1,"[""romance"",""hobby""]",1,,,,,2024-03-05 16:45:00+00,2026-02-16 06:15:00+00,fun-emoji,user-1004,f
1010,えみ,ohimachi@gmail.com,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,emi_workplace,宮城在住の27歳です。職場の後輩に好意を持たれているようですが、どう対応していいか分かりません。仕事に影響が出ないか心配です。,宮城県,1997,female,1,0,single,会社員,,,,,1,"[""romance"",""work""]",1,,,,,2024-04-22 14:55:00+00,2026-02-19 09:23:43.881+00,fun-emoji,emoji-17,f
1003,みお,yhayashi+4@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,mio_newlife,大阪在住の30歳です。結婚3年目で、夫婦関係がマンネリ化してきて不安です。同じような経験をされた方、どう乗り越えましたか？,大阪府,1994,female,0,1,married,主婦,,,,,1,"[""marriage"",""family""]",1,,,,,2023-05-10 09:15:00+00,2026-02-16 06:10:00+00,fun-emoji,user-1003,f
1007,りな,yhayashi+8@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,rina_exlove,福岡在住の29歳です。元カレが忘れられず、新しい恋に踏み出せません。どうやって気持ちを切り替えたらいいでしょうか。,福岡県,1995,female,0,0,single,会社員,,,,,1,"[""romance"",""mental""]",1,,,,,2023-09-25 15:20:00+00,2026-02-16 06:30:00+00,fun-emoji,user-1007,f
2003,りんご,yhayashi+15@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,yui_marriage,神奈川在住の38歳です。結婚15年目で、夫婦関係の危機を乗り越えた経験があります。結婚生活の悩みに寄り添い、実体験をもとにアドバイスします。,神奈川県,1986,female,1,3,married,主婦,,,,,1,"[""marriage"",""family"",""parenting""]",1,,,,,2022-06-20 10:15:00+00,2026-02-16 07:10:00+00,fun-emoji,user-2003,f
2008,菊池京子,yhayashi+20@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,ai_konkatsu,京都在住の36歳です。婚活を3年経験し、結婚しました。婚活の悩みや結婚のタイミングについてアドバイスします。,京都府,1988,female,1,1,married,会社員,,,,,1,"[""romance"",""marriage"",""dating""]",1,,,,,2022-07-25 16:40:00+00,2026-02-16 07:35:00+00,fun-emoji,user-2008,f
2007,ななみ,yhayashi+19@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,ryo_longdistance,千葉在住の34歳です。5年間の遠距離恋愛を経て結婚しました。遠距離恋愛の不安や悩みに実体験をもとにアドバイスします。,千葉県,1990,male,1,1,married,会社員,,,,,1,"[""romance"",""longdistance"",""marriage""]",1,,,,,2022-04-18 15:50:00+00,2026-02-16 07:30:00+00,fun-emoji,user-2007,f
2009,円香,yhayashi+21@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,shin_workplace,宮城在住の37歳です。職場恋愛から結婚し、今も同じ会社で働いています。職場恋愛の悩みに実体験をもとにアドバイスします。,宮城県,1987,male,1,2,married,会社員,,,,,1,"[""romance"",""work"",""marriage""]",1,,,,,2022-01-30 17:20:00+00,2026-02-16 07:40:00+00,fun-emoji,user-2009,f
2010,長澤みくの,yhayashi+22@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,miki_reunion,埼玉在住の33歳です。元カレと復縁し、結婚しました。別れや復縁の悩みに寄り添い、前向きなアドバイスをします。,埼玉県,1991,female,1,1,married,フリーランス,,,,,1,"[""romance"",""mental"",""marriage""]",1,,,,,2022-10-05 18:10:00+00,2026-02-16 07:45:00+00,fun-emoji,user-2010,f
2006,ここあ,yhayashi+18@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,tatsuya_overcome,北海道在住の29歳です。昔は極度の人見知りでしたが、克服して今は結婚しています。人見知りや恋愛の悩みに寄り添います。,北海道,1995,male,1,1,married,会社員,,,,,1,"[""romance"",""communication"",""mental""]",1,,,,,2022-12-08 14:30:00+00,2026-02-16 07:25:00+00,fun-emoji,user-2006,f
5d0f81b9-e076-41de-8bde-3895e0f60444,ハナシテ公式X@恋愛相談,twitter_5d0f81b9-e076-41de-8bde-3895e0f60444@anke.jp,,1,f,,,,,,,,,0,0,,,,,,,0,,0,,,,,2026-02-18 05:58:20.559+00,2026-02-18 05:58:20.566077+00,big-smile,,f
1001,さくら,yhayashi+2@sucmedia.co.jp,,1,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,sakura_love,東京在住の25歳です。最近片思いで悩んでいます。恋愛経験が少なく、どうアプローチしていいか分からず困っています。アドバイスいただけると嬉しいです。,東京都,1999,female,0,0,single,会社員,,,,,1,"[""romance"",""work""]",1,,,,,2024-01-15 10:30:00+00,2026-02-18 03:16:06.568+00,fun-emoji,emoji-19,f
964,こだわりの生活係,yhayashi+100@sucmedia.co.jp,,2,f,$P$BbYOQ1VsceMgwhR.eSnWR4uIecyyGI0,,,,,,,,1,0,not_specified,,,,,,1,"[""gourmet"",""creditcard""]",1,,,,,2023-09-21 00:41:28+00,2025-11-25 19:30:17+00,fun-emoji,user-2011,f
19,まるちゃん,yhayashi+12@sucmedia.co.jp,,1,f,$P$BxqSWdQvPM4xS6PChBwI0fBD8K7rqr.,,,,大阪在住の社会人3年目です。恋愛経験が少なく、職場恋愛は初めてで戸惑っています。よろしくお願いいたします。,大阪府,2001,female,1,0,single,会社員,,,,,1,[],1,,,,,2022-06-21 09:06:35+00,2026-02-16 08:01:36.083+00,fun-emoji,user-1012,f
1,運営スタッフ,info@anke.jp,,3,f,$2y$10$HE5TeL6N0eVZuxTx2tKB8OpjnG0irY.OIaEwBRfF.cfCQjBfWHGgq,,,,"",東京都,2023,female,1,0,single,会社員,テスト,太郎,ｓｓｓ,ｓｓｓｓ,1,[],1,https://anke.jp/member_login/,,,,2025-11-07 18:04:34+00,2026-02-18 05:07:59.845+00,fun-emoji,emoji-4,t
